crop,low_altitude_dry,low_altitude_wet,mid_altitude_dry,mid_altitude_wet,high_altitude_dry,high_altitude_wet
Maize,650,455,600,420,550,385
Rice,1200,840,1100,770,1000,700
Sorghum,450,315,400,280,350,245
Wheat,450,315,425,298,400,280
Millet,400,280,375,263,350,245
Cassava,900,630,850,595,800,560
Sweet Potatoes,550,385,500,350,450,315
Irish Potatoes,600,420,550,385,500,350
Yams,750,525,700,490,650,455
Taro,800,560,750,525,700,490
Beans,400,280,375,263,350,245
Soybeans,450,315,425,298,400,280
Groundnuts,500,350,475,333,450,315
Peas,350,245,325,228,300,210
Green Grams,380,266,355,249,330,231
Coffee,1600,1120,1500,1050,1400,980
Tea,2000,1400,1900,1330,1800,1260
Pyrethrum,700,490,650,455,600,420
Sugarcane,1800,1260,1700,1190,1600,1120
Cotton,900,630,850,595,800,560
Banana,1800,1260,1700,1190,1600,1120
Avocado,800,560,750,525,700,490
Mango,1000,700,950,665,900,630
Pineapple,1200,840,1150,805,1100,770
Passion Fruit,900,630,850,595,800,560
Tree Tomato,850,595,800,560,750,525
Tomatoes,400,280,375,263,350,245
Cabbage,380,266,355,249,330,231
Carrots,400,280,375,263,350,245
Onions,350,245,325,228,300,210
Green Peppers,600,420,550,385,500,350
Eggplant,450,315,425,298,400,280
Sunflower,600,420,550,385,500,350
Palm Oil,1200,840,1150,805,1100,770
Macadamia,900,630,850,595,800,560
Ginger,800,560,750,525,700,490
Chili Peppers,500,350,475,333,450,315
Vanilla,900,630,850,595,800,560
